Keyword,Day_of_Week,Video_Count,Avg_Views,Avg_Engagement,Median_Views,Norm_Avg_Views,Norm_Avg_Engagement,Norm_Video_Count,Timing_Opportunity_Score
computer science,Wednesday,12,1751295.5833333333,2.919594841200962,1601588.5,0.0029863463808111165,0.2596901832425061,0.32142857142857145,0.15034729547334988
how-to,Wednesday,5,474760.6,3.3852184851519467,42948.0,0.0007942696405050724,0.31463195852809006,0.07142857142857142,0.14908465981872496
biology,Thursday,6,2581829.8333333335,3.277809394731859,879491.0,0.004412546865108479,0.30195810446987426,0.10714285714285714,0.14858107881502794
xbox,Saturday,5,1437556.4,3.312995659421079,1651459.0,0.0024475907843826018,0.3061099465698379,0.07142857142857142,0.14599374895225636
finance,Wednesday,11,437446.54545454547,2.914904473696869,196484.0,0.0007301936283913932,0.2591367381570503,0.2857142857142857,0.14551154787487733
history,Wednesday,14,18136033.714285713,2.4537800873945614,2856493.5,0.03112235817978237,0.204725857738806,0.39285714285714285,0.14541741144907905
interview,Tuesday,12,1967676.9166666667,2.8209354720187085,1310260.5,0.003357918248428748,0.24804876218958496,0.32142857142857145,0.1452758633399633
machine learning,Thursday,14,815878.2142857143,2.7011796617304644,808413.0,0.0013800397116329598,0.23391804330647697,0.39285714285714285,0.14516985164386376
tutorial,Wednesday,9,15237256.0,2.825651557356915,5646817.0,0.02614455241200737,0.2486052418792346,0.21428571428571427,0.14506597885963032
cnn,Thursday,9,578957.4444444445,3.0275874890343606,537070.0,0.0009731973487951564,0.27243289480116223,0.21428571428571427,0.14446131289605224
physics,Sunday,5,1293927.6,3.284982909025234,787667.0,0.0022009501863349615,0.30280455119876076,0.07142857142857142,0.14439533276615021
biology,Friday,6,2442766.1666666665,3.198067830893747,681385.0,0.0041737455528830444,0.29254891071815875,0.10714285714285714,0.1442394810362545
tutorial,Thursday,7,4477913.857142857,3.100421632043105,1642556.0,0.007668518491836256,0.28102703981568333,0.14285714285714285,0.1441987155240981
bed,Saturday,5,101522009.4,1.8094217182792067,94340456.0,0.17431346547797483,0.12869408147649936,0.07142857142857142,0.14349625327237053
google,Sunday,9,4749733.555555556,2.934323187596966,3934199.0,0.008135289591905584,0.2614280707156402,0.21428571428571427,0.14273208356696704
cubes,Friday,7,15899621.285714285,2.899634295226157,6742766.0,0.0272819717192394,0.2573349166108126,0.14285714285714285,0.1423633140342377
chess,Thursday,8,2406715.125,3.0282649042974636,2533638.0,0.004111838397236635,0.2725128271620806,0.17857142857142858,0.1423382423588356
asmr,Saturday,6,6981644.0,3.0892314230519484,1295481.0,0.011967945206981068,0.27970663876694374,0.10714285714285714,0.14196784850255187
cnn,Saturday,6,634715.0,3.1633708068704913,592380.0,0.0010689446978497804,0.2884547971100343,0.10714285714285714,0.14099996952783353
machine learning,Friday,8,644901.25,3.0240495887882233,321865.0,0.0010864366130636008,0.2720154363605712,0.17857142857142858,0.1407529856952785
lofi,Monday,5,3291037.6,3.174627495950964,2817800.0,0.005630404479394043,0.2897830425502167,0.07142857142857142,0.14007890830618197
tech,Friday,9,2478728.6666666665,2.9100962415956335,1006704.0,0.004235500664025714,0.2585693855084919,0.21428571428571427,0.13969077020620435
physics,Friday,5,11097000.6,3.053188203627484,3270832.0,0.019034870593834585,0.275453679348078,0.07142857142857142,0.13966270461671781
apple,Thursday,4,1356046.75,3.243361743157402,256204.0,0.002307621719524761,0.29789341583881507,0.03571428571428571,0.13866189547268148
physics,Wednesday,10,4836850.2,2.7873076771948755,1562510.5,0.008284887035354817,0.24408081345982663,0.25,0.13856456522283164
education,Friday,6,6145647.666666667,3.031564743047135,6491557.5,0.010532365186685917,0.2729021952738988,0.10714285714285714,0.13825983792154883
business,Tuesday,9,366811.8888888889,2.8977973279796863,368017.0,0.0006088991948359832,0.2571181616350425,0.21428571428571427,0.13740574880201675
nintendo,Sunday,3,10644440.333333334,3.1417202419698693,180396.0,0.018257730251345708,0.2859001148316981,0.0,0.13687103028736972
google,Wednesday,9,29344945.555555556,2.433287581012234,2568894.0,0.05037039701317845,0.20230782185226334,0.21428571428571427,0.13513376991802023
xbox,Friday,9,666990.2222222222,2.8445617582085676,103500.0,0.001124367984203279,0.25083657187996394,0.21428571428571427,0.13481099436744667
interview,Sunday,3,4885283.333333333,3.162572965829981,5847791.0,0.008368056824217875,0.2883606549767238,0.0,0.13352792031042376
chess,Friday,4,1636316.25,3.0718502173727087,1244945.0,0.0027889028908115315,0.2776557242375221,0.03571428571428571,0.1297715107791787
history,Monday,5,1269258.8,2.987638485224347,1135106.0,0.002158588712973646,0.26771906804702994,0.07142857142857142,0.12858780268485875
food,Saturday,10,5021726.8,2.546518546378096,4142316.0,0.008602358706697991,0.21566863446416717,0.25,0.12592194692688932
machine learning,Saturday,3,442480.6666666667,3.06630881754293,132583.0,0.0007388382641914687,0.2770018606544105,0.0,0.12498331451337089
food,Wednesday,8,8447230.75,2.612958086878238,3399142.5,0.014484663250372773,0.22350824130470923,0.17857142857142858,0.12495394990692976
business,Friday,7,40267550.571428575,2.211886882225907,7989628.0,0.0691267873287216,0.17618340227259496,0.14285714285714285,0.12467529960630674
chess,Tuesday,8,2006207.75,2.699797007877923,200395.5,0.0034240837234352046,0.23375489554056997,0.17857142857142858,0.1245876835259452
machine learning,Wednesday,10,1275017.3,2.552705175541042,465583.0,0.002168477258194781,0.2163986325939048,0.25,0.1233551994334448
mathchemistry,Friday,4,6698799.25,2.870922758162868,3546309.5,0.011482241794471632,0.2539470671363967,0.03571428571428571,0.12301461759031933
marvel,Thursday,4,3982682.75,2.8890597122712283,1437679.5,0.006818103418832028,0.2560871570350346,0.03571428571428571,0.12187879577566856
business,Monday,7,1217514.142857143,2.723525036867851,580096.0,0.002069732347234432,0.2365547104848293,0.14285714285714285,0.12166671356014297
chess,Sunday,5,1138681.8,2.8573533428486475,137405.0,0.0019343607769937673,0.25234592901414715,0.07142857142857142,0.12156898754887055
physics,Saturday,7,2543742.285714286,2.6840901408539,928585.0,0.00434714260410421,0.23190154644697183,0.14285714285714285,0.12059762435869852
chess,Saturday,4,449322.75,2.9072266118326233,132874.0,0.0007505875479369649,0.2582307803804226,0.03571428571428571,0.12011304413919037
bed,Sunday,4,4398127.75,2.8089651599292305,2997212.0,0.007531509109444928,0.24663631201558212,0.03571428571428571,0.11794694807769074
xbox,Sunday,4,2063950.75,2.8236249998238874,2049341.0,0.0035232404945915808,0.24836611598855146,0.03571428571428571,0.11692163898884295
chess,Monday,3,465156.3333333333,2.900705326384653,198004.0,0.0007777771120255774,0.25746129411332647,0.0,0.11620758205140842
interview,Thursday,5,3562160.4,2.709871211716115,1693731.0,0.0060959788595765065,0.23494361233072802,0.07142857142857142,0.11561067317849419
mukbang,Thursday,6,3491264.5,2.627783585291747,2221501.5,0.0059742358165717204,0.22525759233727308,0.10714285714285714,0.11476860838351588
minecraft,Sunday,5,6235907.4,2.6374590828836717,4452337.0,0.010687359969131735,0.22639926334427138,0.07142857142857142,0.11383183763388854
cubes,Thursday,5,38889504.8,2.147531713231302,29905105.0,0.06676039539895426,0.1685897431461706,0.07142857142857142,0.11305041948816333
