Title,Video ID,Published At,Keyword,Likes,Comments,Views,Year,Month,Day,Day_of_Week,Engagement_Rate,Like_Rate,Comment_Rate,View_to_Median_Ratio
"Last To Take Hand Off Lamborghini, Keeps It",qIsgdOVGA04,2021-10-23,mrbeast,3514143.0,129023.0,97578090.0,2021,10,23,Saturday,3.733590156011558,3.6013647776732993,0.13222537833825831,165.41266674238483
BEST Magic Show in the world - Genius Rubik&#39;s Cube Magician America&#39;s Got Talent,PFA-RmV_wG0,2016-09-29,cubes,954935.0,28908.0,94900199.0,2016,9,29,Thursday,1.0367133051352895,1.0062518308707464,0.030461474264543174,160.87315288681097
"Offering People $100,000 To Quit Their Job",DuQbOQwVaNE,2021-03-13,mrbeast,2869906.0,119182.0,94508185.0,2021,3,13,Saturday,3.1627821107475285,3.0366745162159816,0.1261075945315467,160.20861762955855
Nicki Minaj - Bed ft. Ariana Grande,zxtl5ExJmag,2018-07-07,bed,1499298.0,75048.0,94340456.0,2018,7,7,Saturday,1.668792000869786,1.5892418244274564,0.0795501764423295,159.9242863705635
"$10,000 Every Day You Survive Prison",hD1YtmKXNb4,2022-04-09,mrbeast,3550678.0,157803.0,93963115.0,2022,4,9,Saturday,3.9467411872547946,3.7787997579816315,0.16794142927316288,159.28462452556082
"Last To Leave VR Wins $20,000",RCvnytndd9c,2019-06-08,mrbeast,2135851.0,91698.0,93319974.0,2019,6,8,Saturday,2.3870012824156883,2.2887393615354057,0.09826192088028313,158.19438318243385
"Last To Leave Roller Coaster Wins $20,000 - Challenge",gL6iSCSHjco,2019-08-17,mrbeast,2121115.0,65601.0,92621700.0,2019,8,17,Saturday,2.3609110784955245,2.29008426437774,0.07082681411778434,157.01068134468653
"I Searched 100 Dumpsters, Here&#39;s What I Found",anFxsa5jXrE,2019-10-12,mrbeast,1572751.0,52457.0,91053784.0,2019,10,12,Saturday,1.7848879099314763,1.7272769056223196,0.057611004309156395,154.35277764122142
ASMR MUKBANG| 직접 만든 떡볶이 양념치킨 김밥 먹방 &amp; 레시피 FRIED CHICKEN AND Tteokbokki EATING,EuySE6259wQ,2020-02-29,mukbang,1221507.0,43126.0,86169225.0,2020,2,29,Saturday,1.4676155963150928,1.4175675664070604,0.050048029908032365,146.07255889487666
"Would You Swim With Sharks For $100,000?",LnlKwzc_TNA,2022-03-19,mrbeast,2897163.0,104483.0,85522922.0,2022,3,19,Saturday,3.5097560919427417,3.3875865070701567,0.1221695848725844,144.97695738480812
1 A.M Study Session 📚 - [lofi hip hop/chill beats],lTRiuFIWV54,2019-12-08,lofi,1638369.0,58851.0,84747957.0,2019,12,8,Sunday,2.0026677220942597,1.9332253409574778,0.06944238113678208,143.663250308947
"ASMR SPICY BLACK BEAN ENOKI MUSHROOMS OCTOPUS 짜장불닭 팽이버섯, 낙지 먹방 咀嚼音えのき MUKBANG ZOEY ASMR",L_U7b1aWPY4,2021-04-09,mukbang,953712.0,35658.0,84410562.0,2021,4,9,Friday,1.172092644376747,1.1298491161586022,0.04224352821814492,143.09130422253
ASMR MUKBANG| 직접 만든 치토스 양념치킨 치즈스틱 핫도그 짜파게티 먹방 &amp; 레시피 FRIED CHICKEN AND BLACK BEAN NOODLES EATING,HQsswovXtPU,2021-11-12,mukbang,861503.0,17975.0,79941868.0,2021,11,12,Friday,1.100146907998861,1.0776618194903598,0.022485088508501096,135.5160525303141
"Extreme $500,000 Game Of Tag!",uocETPj4Jx4,2021-09-04,mrbeast,3136265.0,101503.0,79882619.0,2021,9,4,Saturday,4.053156994600327,3.9260918082055896,0.12706518639473768,135.41561466468443
J. Holiday - Bed (Official Music Video),82t_UOMHPJY,2007-07-16,bed,515049.0,16568.0,78137822.0,2007,7,16,Monday,0.6803580898331401,0.6591545300667002,0.021203559766439874,132.45786539234152
ASMR MUKBANG | 치즈 불닭볶음면 &amp; 치토스 대왕 통 가래떡 튀김 핫도그 딸기 먹방 &amp; 레시피 FIRE NOODLES AND Tteokbokki EATING,nad-9QEm5II,2021-01-29,mukbang,1056430.0,46966.0,75785129.0,2021,1,29,Friday,1.4559531665380794,1.3939805869568345,0.061972579581245024,128.4696214827083
"100 Girls Vs 100 Boys For $500,000",tVWWp1PqDus,2022-07-23,mrbeast,2946965.0,131040.0,71968133.0,2022,7,23,Saturday,4.276899829027108,4.094819243194495,0.18208058583261308,121.99911680993783
"Last to Stop Swinging Wins $1,000,000 (Part 2)",RwnN2FVaHmw,2019-11-30,mrbeast,1511358.0,81100.0,69330547.0,2019,11,30,Saturday,2.2969066968863423,2.1799308437602427,0.11697585312609962,117.52792728345315
Gordon Ramsay&#39;s perfect burger tutorial | GMA,iM_KMYulI_s,2017-05-24,tutorial,981522.0,122371.0,68512549.0,2017,5,24,Wednesday,1.611227432054419,1.432616360068338,0.1786110719860814,116.14127142074938
24 Hours In The Most Haunted Place On Earth,YyhKdOCwD7s,2019-05-30,mrbeast,2021442.0,121200.0,66999237.0,2019,5,30,Thursday,3.19800950572005,3.017111925959516,0.18089757976053397,113.57593146038273
Giant Monopoly Game With Real Money,2nd73lyvq4w,2019-02-15,mrbeast,1552125.0,67399.0,66839006.0,2019,2,15,Friday,2.423022233110076,2.3221844094721513,0.10083782363792448,113.30431067947998
Rich Brian - History (Official Video),6DrNC-xQcGs,2018-10-10,history,738439.0,23522.0,66368842.0,2018,10,10,Wednesday,1.1480703377637607,1.1126290087654533,0.03544132899830723,112.50729691290321
Lifetime Movies 2022 #LMN Movies | New Lifetime Movies Based On True Story #6,WC2LFmU8CNE,2022-08-21,movies,179555.0,6907.0,65067408.0,2022,8,21,Sunday,0.2865674273275581,0.2759522820403068,0.010615145287251257,110.30112882200076
"I Gave My 100,000,000th Subscriber An Island",2isYuQZMbdU,2022-08-04,mrbeast,3710978.0,224423.0,63310479.0,2022,8,4,Thursday,6.216034059447978,5.861554042869364,0.35448001657861383,107.32281359604141
I Opened The World&#39;s First FREE Store,n6qc4LHN2KQ,2019-06-15,mrbeast,1801566.0,76492.0,61197670.0,2019,6,15,Saturday,3.0688390085956048,2.9438473238630274,0.12499168473257749,103.74121683587413
Rotimi - In My Bed (Official Video) (feat. Wale),3Dg1CT31_uw,2020-09-17,bed,789062.0,14192.0,58921922.0,2020,9,17,Thursday,1.3632515014827333,1.339165390104461,0.024086111378272566,99.8834087406998
EVERY RUBIK&#39;S CUBE FROM 1x1 TO 19x19,Zexcefmr0cY,2021-07-10,cubes,2025653.0,8188.0,58590655.0,2021,7,10,Saturday,3.4712719379690853,3.457297013366773,0.013974924602312014,99.32185073240358
All Sports Baseball Battle | Dude Perfect,dwV04XuiWq4,2019-04-22,sports,778342.0,20737.0,57369066.0,2019,4,22,Monday,1.39287431674634,1.356727659524252,0.03614665722208799,97.25103448509681
Marvel Studios&#39; Thor: Love and Thunder | Official Trailer,Go8nTmfrQd8,2022-05-24,marvel,1602939.0,61259.0,54583132.0,2022,5,24,Tuesday,3.0489235566598936,2.9366929157401063,0.11223064091978743,92.528368030893
Tiesto - The Business (Official Lyric Video),PO_d169ibZ8,2020-09-25,business,385847.0,4381.0,54244089.0,2020,9,25,Friday,0.7193926564165792,0.7113162005298642,0.008076455886715033,91.95362828378032
How To Fix a Water Damaged Laptop,115amzVdV44,2020-08-18,how-to,910553.0,81975.0,52061447.0,2020,8,18,Tuesday,1.9064548492773385,1.748996685608898,0.15745816366844043,88.25365184681654
New Lifetime Movies (2022) #LMN Movies | Based On True Story (2022),8gj6deh-fWU,2022-08-23,movies,280080.0,7414.0,52046148.0,2022,8,23,Tuesday,0.5523828477684295,0.5381377976687575,0.01424505009967212,88.22771725034625
