Title,Video ID,Published At,Keyword,Likes,Comments,Views,Year,Month,Day,Day_of_Week,Engagement_Rate,Like_Rate,Comment_Rate,Total_Comments,Total_Comment_Likes,Avg_Sentiment
"Twitter Whistleblower Accuses Company of Privacy, Security Issues | Tech News Briefing Podcast | WSJ",MAeXrShneoQ,2022-08-24,tech,709.0,128.0,25745.0,2022,8,24,Wednesday,3.250990445117688,2.7538258370232267,0.4971646080944613,10,118.0,0.7
"I Did a Terrible Job of This - Intel $5,000 Extreme Tech Upgrade",AREK4H8k7Ng,2022-07-23,tech,78852.0,3926.0,1889567.0,2022,7,23,Saturday,4.380789683144507,4.173017324594828,0.2077723585496791,10,11948.0,1.4
Cool Tech Under $50 - June!,B0HI0RTZdJw,2022-06-04,tech,32102.0,3243.0,786765.0,2022,6,4,Saturday,4.492441208694834,4.080247494172347,0.41219371452248826,10,645.0,1.9
18 DEADLY Tech Fails that need to be BANNED.,Wuq7lS9rljw,2022-07-02,tech,188623.0,7464.0,4195072.0,2022,7,2,Saturday,4.67422140210671,4.496298395760932,0.17792300634577754,10,8791.0,0.9
I bought the BIGGEST Tech in the world.,VuG4BcghOSg,2021-12-04,tech,343227.0,20854.0,9618335.0,2021,12,4,Saturday,3.785280530852738,3.5684654809314207,0.21681504992131698,10,9701.0,1.6
Neil Gaiman Answers Mythology Questions From Twitter | Tech Support | WIRED,o-jUQhCeazQ,2022-08-04,tech,43960.0,1767.0,791624.0,2022,8,4,Thursday,5.776346123480184,5.553134375493447,0.22321174798673615,10,23091.0,1.7
Sushi Chef Answers Sushi Questions From Twitter | Tech Support | WIRED,-ju6y-pHByw,2022-05-26,tech,77411.0,2098.0,2474364.0,2022,5,26,Thursday,3.2133092732882984,3.1285198424646325,0.08478943082366587,10,17325.0,1.7
Futurum Research&#39;s Daniel Newman breaks down tech stocks to watch,-VVLmBXHvL8,2022-08-24,tech,24.0,45.0,3461.0,2022,8,24,Wednesday,1.9930675909878681,0.6932409012131715,1.2998266897746966,5,81.0,1.2
My Favorite Tech of the Month!,UxjgqBamqDU,2022-07-30,tech,4492.0,169.0,274201.0,2022,7,30,Saturday,1.6998417225257294,1.638208328166826,0.06163339435890329,10,85.0,1.8
Paleontologist Answers Dinosaur Questions From Twitter | Tech Support | WIRED,YvZPU-KBCiQ,2022-06-08,tech,51846.0,2371.0,1156785.0,2022,6,8,Wednesday,4.686865159156491,4.481900714566048,0.20496444459044283,10,14984.0,1.6
How Biden&#39;s student loan forgiveness program will work,--ixiTypG8g,2022-08-24,news,1029.0,2347.0,97434.0,2022,8,24,Wednesday,3.4648740185764866,1.0560886745009495,2.408785344075538,10,836.0,0.2
Primary results in New York and Florida hold national implications for Democrats,4RkfqEWK2FI,2022-08-24,news,534.0,538.0,57858.0,2022,8,24,Wednesday,1.8527800342211238,0.9229333379422389,0.9298466962788848,10,128.0,0.5
Ex-CIA director predicts what&#39;s next in Russia-Ukraine war,GK8CFuXExLw,2022-08-24,news,8526.0,3934.0,544884.0,2022,8,24,Wednesday,2.2867210512309937,1.5647338429209834,0.7219872083100104,10,513.0,1.0
President Zelenskyy promises victory over Russia on Ukrainian Independence Day,95MMQzBkE30,2022-08-24,news,588.0,887.0,69951.0,2022,8,24,Wednesday,2.1085887465690756,0.840576395242452,1.268012351326624,10,206.0,0.7
"6 months later, what&#39;s next in the Ukraine war? l ABC News",nv7owOSprnI,2022-08-24,news,137.0,222.0,18531.0,2022,8,24,Wednesday,1.9371897258795596,0.7392618173969351,1.1979279084826246,10,44.0,0.5
More than 700 pages of classified documents found at Mar-a-Lago,rqbFOOt1q9M,2022-08-24,news,848.0,1384.0,86855.0,2022,8,24,Wednesday,2.5697706548770376,0.976328635903104,1.593442018973934,10,72.0,0.8
Nadler Celebrates Win In New York House Primary,_XFJpfSFcpU,2022-08-24,news,827.0,1653.0,131012.0,2022,8,24,Wednesday,1.8929419217940204,0.6312350682756673,1.261706853518353,10,1980.0,0.9
Biden Announces Plan For Federal Student Loan Debt Relief,fNHmQdrlIZE,2022-08-24,news,1200.0,2841.0,54596.0,2022,8,24,Wednesday,7.401505577229519,2.197922962800154,5.203582614429364,10,358.0,0.9
